id,title,slug,image,video_url,video_path,video_file,description,ingredients,instructions,recipe_notes,tags,prep_time,cook_time,total_time,servings,difficulty,rating,rating_count,category,cuisine_type,dietary_restrictions,calories_per_serving,protein_per_serving,carbs_per_serving,fat_per_serving,fiber_per_serving,sugar_per_serving,sodium_per_serving,status,views,likes,author_id,featured,created_at,updated_at,uploaded_by_user_id,is_user_recipe,moderation_status,moderator_notes
246,"Buttermilk Chaas","buttermilk-chaas","images/buttermilk-chaas.jpg","","","","Spiced buttermilk drink","2 cups buttermilk||1/2 cup water||1 tsp roasted cumin powder||1/2 tsp salt||1/4 tsp black pepper||1 green chili||Mint leaves||1/2 inch ginger||Ice cubes","Blend buttermilk with water||Add cumin powder and salt||Add chopped chili, ginger, mint||Blend until frothy||Add black pepper||Serve chilled with ice||Garnish with mint","Digestive drink perfect after meals","beverages,buttermilk,indian,cold,digestive","8 mins","0 mins","8 mins",3,"Easy",4.6,31,"beverages","Indian","vegetarian",65,3.2,8.5,2.5,0.2,6.8,385.5,"published",198,56,1,0,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
247,"Espresso","espresso","images/espresso.jpg","","","","Strong Italian coffee shot","2 tbsp espresso ground coffee||1/4 cup water||Sugar to taste","Heat water to 90-95°C||Pack coffee grounds in portafilter||Extract shot for 25-30 seconds||Serve immediately||Add sugar if desired","Base for many coffee drinks","beverages,coffee,italian,hot,strong","2 mins","3 mins","5 mins",1,"Medium",4.7,28,"beverages","Italian","vegetarian,gluten-free",5,0.3,1.2,0.1,0.1,0.2,2.5,"published",145,35,1,0,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
248,"Cappuccino","cappuccino","images/cappuccino.jpg","","","","Classic Italian coffee with steamed milk","1 shot espresso||1/3 cup milk||Sugar to taste||Cocoa powder for dusting","Brew espresso shot||Steam milk until frothy||Pour steamed milk over espresso||Top with milk foam||Dust with cocoa powder||Serve immediately","Perfect morning coffee","beverages,coffee,italian,hot,milky","5 mins","5 mins","10 mins",1,"Medium",4.8,42,"beverages","Italian","vegetarian",85,4.2,8.5,3.8,0.1,7.2,68.5,"published",234,67,1,1,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
249,"Matcha Latte","matcha-latte","images/matcha-latte.jpg","","","","Japanese green tea latte","1 tsp matcha powder||2 tbsp hot water||1 cup milk||2 tbsp sugar||1/4 tsp vanilla extract||Whipped cream for topping","Whisk matcha with hot water||Heat milk with sugar||Add vanilla extract||Froth milk if desired||Pour matcha into cup||Add hot milk||Top with whipped cream","Antioxidant-rich Japanese drink","beverages,matcha,japanese,hot,healthy","8 mins","5 mins","13 mins",1,"Medium",4.6,24,"beverages","Japanese","vegetarian",125,5.8,18.5,3.5,1.2,16.8,85.2,"published",187,45,1,0,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
250,"Bubble Tea","bubble-tea","images/bubble-tea.jpg","","","","Taiwanese tea with tapioca pearls","1/2 cup tapioca pearls||2 cups water||2 tbsp black tea||1/4 cup sugar||1 cup milk||Ice cubes||Brown sugar syrup","Cook tapioca pearls until soft||Brew strong black tea||Add sugar to tea||Cool completely||Add cooked pearls to glass||Pour tea and milk||Add ice and brown sugar syrup","Popular Taiwanese drink","beverages,tea,taiwanese,cold,chewy","30 mins","20 mins","50 mins",2,"Medium",4.7,38,"beverages","Taiwanese","vegetarian",185,3.2,42.5,2.8,0.8,35.2,55.2,"published",223,64,1,1,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
251,"Horchata","horchata","images/horchata.jpg","","","","Sweet rice and cinnamon drink","1 cup rice||5 cups water||1 cinnamon stick||1 cup milk||1/2 cup sugar||1 tsp vanilla extract||1/4 tsp salt||Ground cinnamon for garnish","Soak rice with cinnamon for 2 hours||Blend with soaking water||Strain through fine mesh||Add milk, sugar, vanilla, salt||Blend until smooth||Chill for 2 hours||Serve with cinnamon garnish","Traditional Mexican drink","beverages,rice,mexican,cold,sweet","20 mins","0 mins","20 mins",4,"Medium",4.5,27,"beverages","Mexican","vegetarian,gluten-free",145,3.5,28.5,2.8,0.5,24.8,125.2,"published",156,38,1,0,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
252,"Smoothie Bowl Drink","smoothie-bowl-drink","images/smoothie-bowl-drink.jpg","","","","Thick smoothie with toppings","1 banana||1 cup mixed berries||1/2 cup yogurt||1/4 cup granola||2 tbsp honey||1 tbsp chia seeds||1/4 cup coconut flakes||1/4 cup almond milk","Blend banana, berries, yogurt||Add almond milk for consistency||Pour into bowl||Top with granola, chia seeds||Add coconut flakes||Drizzle with honey||Serve immediately","Instagram-worthy healthy drink","beverages,smoothie,healthy,cold,nutritious","10 mins","0 mins","10 mins",2,"Easy",4.8,33,"beverages","American","vegetarian",245,8.5,42.5,6.2,8.5,32.5,95.2,"published",267,78,1,1,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
253,"Kombucha","kombucha","images/kombucha.jpg","","","","Fermented tea drink with probiotics","1 SCOBY||1 cup starter tea||8 cups water||4 tea bags||1/2 cup sugar||Fruit for flavoring (optional)","Brew strong tea with sugar||Cool to room temperature||Add SCOBY and starter tea||Cover with cloth||Ferment for 7-14 days||Strain and bottle||Add fruit for second fermentation||Chill before serving","Probiotic drink good for gut health","beverages,fermented,healthy,cold,probiotic","20 mins","0 mins","20 mins",8,"Hard",4.4,19,"beverages","American","vegetarian,gluten-free",25,0.2,6.2,0.1,0.5,4.8,15.2,"published",134,29,1,0,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
254,"Protein Shake","protein-shake","images/protein-shake.jpg","","","","Post-workout protein drink","1 scoop protein powder||1 banana||1 cup milk||1 tbsp peanut butter||1 tsp honey||1/2 cup ice||1 tbsp oats||Berries for topping","Add all ingredients to blender||Blend until smooth||Add ice and blend again||Pour into glass||Top with berries||Serve immediately","Perfect post-workout recovery drink","beverages,protein,fitness,cold,nutritious","5 mins","0 mins","5 mins",1,"Easy",4.6,31,"beverages","American","vegetarian",285,25.8,32.5,8.5,4.2,24.8,125.2,"published",198,56,1,0,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
255,"Detox Water","detox-water","images/detox-water.jpg","","","","Infused water with fruits and herbs","4 cups water||1 cucumber sliced||1 lemon sliced||10 mint leaves||1 tbsp honey||Ice cubes||Lime wedges for garnish","Slice cucumber and lemon||Add to water with mint||Stir in honey||Refrigerate for 2 hours||Serve over ice||Garnish with lime wedges","Hydrating drink for cleansing","beverages,water,detox,cold,healthy","10 mins","0 mins","10 mins",4,"Easy",4.3,22,"beverages","American","vegetarian,gluten-free",15,0.2,3.8,0.1,0.5,3.2,5.2,"published",176,42,1,0,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
256,"Golden Milk","golden-milk","images/golden-milk.jpg","","","","Turmeric milk with warming spices","2 cups milk||1 tsp turmeric powder||1/2 tsp cinnamon powder||1/4 tsp ginger powder||Pinch of black pepper||2 tbsp honey||1/4 tsp vanilla extract||Coconut oil (optional)","Heat milk in saucepan||Add turmeric and spices||Whisk until smooth||Add honey and vanilla||Simmer for 5 minutes||Add coconut oil if desired||Serve hot","Anti-inflammatory bedtime drink","beverages,milk,turmeric,hot,healthy","5 mins","8 mins","13 mins",2,"Easy",4.5,26,"beverages","Indian","vegetarian",125,5.2,18.5,3.8,0.5,16.8,85.2,"published",187,45,1,0,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
257,"Chia Fresca","chia-fresca","images/chia-fresca.jpg","","","","Refreshing chia seed drink","2 tbsp chia seeds||2 cups water||2 tbsp lime juice||2 tbsp agave syrup||Pinch of salt||Lime slices for garnish||Mint leaves||Ice cubes","Soak chia seeds in water for 15 minutes||Stir occasionally to prevent clumping||Add lime juice and agave||Mix in salt||Serve over ice||Garnish with lime and mint","Hydrating drink rich in omega-3","beverages,chia,healthy,cold,nutritious","20 mins","0 mins","20 mins",2,"Easy",4.4,18,"beverages","Mexican","vegetarian,gluten-free",85,3.2,12.5,4.2,8.5,8.8,125.2,"published",145,35,1,0,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
258,"Hibiscus Tea","hibiscus-tea","images/hibiscus-tea.jpg","","","","Tart herbal tea with health benefits","1/4 cup dried hibiscus flowers||3 cups water||2 tbsp honey||1 tbsp lemon juice||Cinnamon stick||Ice cubes||Lemon slices for garnish","Boil water with hibiscus flowers||Steep for 10 minutes||Strain and add honey||Add lemon juice and cinnamon||Serve hot or cold||Garnish with lemon slices","Rich in antioxidants and vitamin C","beverages,herbal,tea,healthy,tart","5 mins","15 mins","20 mins",3,"Easy",4.5,24,"beverages","African","vegetarian,gluten-free",35,0.2,9.2,0.1,0.8,8.5,5.2,"published",167,39,1,0,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
259,"Switchel","switchel","images/switchel.jpg","","","","Vinegar-based refreshing drink","4 cups water||1/4 cup apple cider vinegar||1/4 cup honey||1 tbsp fresh ginger||1 tbsp lemon juice||Ice cubes||Apple slices for garnish","Grate fresh ginger||Mix with warm water and honey||Add vinegar and lemon juice||Stir until honey dissolves||Chill for 2 hours||Serve over ice||Garnish with apple slices","Traditional haymaker's drink","beverages,vinegar,cold,refreshing,traditional","10 mins","0 mins","10 mins",4,"Easy",4.2,16,"beverages","American","vegetarian,gluten-free",45,0.1,12.5,0.1,0.2,11.8,5.2,"published",123,28,1,0,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
260,"Energy Drink","energy-drink","images/energy-drink.jpg","","","","Natural energy boosting drink","2 cups coconut water||1 banana||1 tbsp honey||1 tsp spirulina powder||1/2 cup pineapple juice||1 tbsp chia seeds||Ice cubes||Mint for garnish","Blend coconut water with banana||Add honey and spirulina||Mix in pineapple juice||Add chia seeds||Blend until smooth||Serve over ice||Garnish with mint","Natural alternative to commercial energy drinks","beverages,energy,healthy,cold,natural","8 mins","0 mins","8 mins",2,"Easy",4.6,29,"beverages","American","vegetarian,gluten-free",125,3.8,28.5,2.2,6.5,22.8,185.2,"published",203,58,1,1,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
261,"Rosewater Lemonade","rosewater-lemonade","images/rosewater-lemonade.jpg","","","","Floral twist on classic lemonade","4 cups water||1/2 cup lemon juice||1/3 cup sugar||2 tbsp rosewater||Pink food coloring (optional)||Ice cubes||Rose petals for garnish||Lemon slices","Mix lemon juice with sugar||Add water and stir||Mix in rosewater||Add food coloring if desired||Chill for 1 hour||Serve over ice||Garnish with rose petals and lemon","Elegant floral summer drink","beverages,rose,lemonade,cold,floral","10 mins","0 mins","10 mins",4,"Easy",4.7,32,"beverages","Middle Eastern","vegetarian,gluten-free",75,0.2,19.5,0.1,0.5,18.8,5.2,"published",234,67,1,1,"2025-06-21 08:00:00","2025-06-21 08:00:00",,"0","approved",
262,"Traditional Naan Bread","traditional-naan-bread","images/naan-bread.jpg","","","","Soft and fluffy homemade naan bread","2 cups all-purpose flour||1/2 cup plain yogurt||1 teaspoon active dry yeast||1 teaspoon sugar||1/2 teaspoon salt||2 tablespoons oil||1/4 cup warm water||2 tablespoons butter for brushing","Mix yeast and sugar in warm water, let foam||Combine flour and salt||Add yogurt, oil, and yeast mixture||Knead into soft dough||Rest for 2 hours||Divide into 8 portions||Roll each portion||Cook on hot tawa/pan||Brush with butter while hot","Keep the dough covered while resting to prevent drying","naan,indian,bread,homemade,soft","20 mins","16 mins","2 hours 36 mins",8,"Medium",4.6,24,"bread-bakes","Indian","vegetarian",220,6.8,38.2,5.4,1.8,3.2,385.0,"published",320,58,1,1,"2025-06-21 10:00:00","2025-06-21 10:00:00",,"0","approved",
263,"French Baguette","french-baguette","images/french-baguette.jpg","","","","Authentic crusty French baguette","3 cups bread flour||1 1/4 cups warm water||1 teaspoon active dry yeast||1 1/2 teaspoons salt||1 tablespoon olive oil","Dissolve yeast in warm water||Mix flour and salt||Add water and oil, knead 10 minutes||First rise 1 hour||Shape into baguettes||Second rise 45 minutes||Score tops||Bake at 450°F for 25-30 minutes||Cool on wire rack","Steam in oven for crispy crust - place a pan of water on bottom rack","baguette,french,crusty,artisan,bread","25 mins","30 mins","2 hours 40 mins",2,"Hard",4.9,35,"bread-bakes","French","vegan",180,6.2,35.8,2.1,1.5,0.8,290.5,"published",420,72,1,1,"2025-06-21 10:00:00","2025-06-21 10:00:00",,"0","approved",
264,"Paratha (Layered Flatbread)","paratha-layered-flatbread","images/paratha.jpg","","","","Flaky layered Bengali paratha","2 cups whole wheat flour||3/4 cup water||1/2 teaspoon salt||3 tablespoons oil||2 tablespoons ghee for layering","Mix flour and salt||Add water and 1 tbsp oil, knead smooth dough||Rest 30 minutes||Divide into 6 portions||Roll thin, brush with ghee||Fold into layers||Roll again gently||Cook on hot tawa until golden spots appear||Serve hot","Don't roll too thin after folding to maintain layers","paratha,bengali,layered,flatbread,traditional","20 mins","18 mins","1 hour 8 mins",6,"Medium",4.7,28,"bread-bakes","Bengali","vegetarian",195,5.1,32.4,6.2,3.8,1.1,198.5,"published",280,45,1,0,"2025-06-21 10:00:00","2025-06-21 10:00:00",,"0","approved",
265,"Sourdough Bread","sourdough-bread","images/sourdough-bread.jpg","","","","Tangy artisan sourdough bread","1 cup active sourdough starter||3 cups bread flour||1 1/4 cups water||1 1/2 teaspoons salt","Mix starter with water||Add flour and salt||Mix until combined||Bulk fermentation 4-6 hours with folds every 30 minutes||Shape loaf||Final proof 2-4 hours||Score and bake at 450°F for 45 minutes||Cool completely before slicing","Maintain sourdough starter regularly for best results","sourdough,artisan,tangy,fermented,bread","30 mins","45 mins","8 hours 15 mins",1,"Hard",4.8,42,"bread-bakes","European","vegan",165,5.8,33.2,1.2,2.1,0.5,285.0,"published",380,65,"1","1","2025-06-21 10:00:00","2025-06-21 10:00:00",,"0","approved",
266,"Luchi (Bengali Fried Bread)","luchi-bengali-fried-bread","images/luchi.jpg","","","","Crispy puffed Bengali luchi","1 1/2 cups all-purpose flour||1/2 teaspoon salt||2 tablespoons oil||1/2 cup water||Oil for deep frying","Mix flour and salt||Add 2 tbsp oil and water||Knead smooth dough||Rest 20 minutes||Roll into small thin circles||Heat oil for deep frying||Fry luchi until puffed and golden||Drain on paper towels||Serve immediately","Roll very thin for best puffing, oil should be hot enough","luchi,bengali,fried,puffed,traditional","15 mins","10 mins","45 mins",8,"Medium",4.5,19,"bread-bakes","Bengali","vegetarian",145,3.2,22.1,5.8,0.9,0.4,148.5,"published",195,32,1,0,"2025-06-21 10:00:00","2025-06-21 10:00:00",,"0","approved",
267,"Focaccia Bread","focaccia-bread","images/focaccia.jpg","","","","Herbed Italian focaccia bread","3 cups all-purpose flour||1 1/4 cups warm water||2 teaspoons active dry yeast||1 teaspoon sugar||2 teaspoons salt||1/4 cup olive oil||2 tablespoons fresh rosemary||Sea salt for topping","Dissolve yeast and sugar in warm water||Mix flour and salt||Add water mixture and oil||Knead until smooth||Rise 1 hour||Press into oiled pan||Dimple surface||Top with rosemary and sea salt||Rise 30 minutes||Bake at 425°F for 25 minutes","Use fingertips to create dimples for olive oil pools","focaccia,italian,herbed,olive-oil,bread","20 mins","25 mins","2 hours 15 mins",8,"Easy",4.6,31,"bread-bakes","Italian","vegan",210,5.4,38.6,5.2,1.7,1.8,395.0,"published",265,48,1,0,"2025-06-21 10:00:00","2025-06-21 10:00:00",,"0","approved",
268,"Bakarkhani (Layered Sweet Bread)","bakarkhani-layered-sweet-bread","images/bakarkhani.jpg","","","","Traditional Dhaka-style bakarkhani","2 cups all-purpose flour||1/2 cup milk||1/4 cup sugar||1/4 cup ghee||1/2 teaspoon salt||1/2 teaspoon baking powder||2 tablespoons poppy seeds||1 tablespoon fennel seeds","Mix flour, salt, and baking powder||Heat milk with sugar until dissolved||Add ghee to flour||Mix with warm milk to form dough||Knead well and rest 1 hour||Roll thin, sprinkle seeds||Fold and roll again||Bake in clay oven or heavy pan||Cook until golden and crispy","Traditional clay oven gives best flavor, but heavy pan works too","bakarkhani,dhaka,sweet,layered,traditional","25 mins","20 mins","1 hour 45 mins",10,"Medium",4.4,16,"bread-bakes","Bengali","vegetarian",185,4.8,32.1,5.1,1.2,6.8,165.0,"published",145,22,1,0,"2025-06-21 10:00:00","2025-06-21 10:00:00",,"0","approved",
269,"Dinner Rolls","dinner-rolls","images/dinner-rolls.jpg","","","","Soft and fluffy dinner rolls","3 cups all-purpose flour||1 cup warm milk||2 tablespoons sugar||2 teaspoons active dry yeast||1 teaspoon salt||1/4 cup butter melted||1 egg||Butter for brushing","Dissolve yeast and sugar in warm milk||Mix flour and salt||Add milk mixture, melted butter, and egg||Knead until smooth||Rise 1 hour||Shape into 12 rolls||Place in greased pan||Rise 45 minutes||Brush with butter||Bake at 375°F for 15-18 minutes","Brush with butter before and after baking for soft crust","dinner-rolls,soft,fluffy,homemade,bread","20 mins","18 mins","2 hours 23 mins",12,"Easy",4.7,26,"bread-bakes","American","vegetarian",165,5.2,28.4,4.1,1.1,3.5,215.0,"published",210,38,1,0,"2025-06-21 10:00:00","2025-06-21 10:00:00",,"0","approved",
270,"Chitoi Pitha (Rice Pancakes)","chitoi-pitha-rice-pancakes","images/chitoi-pitha.jpg","","","","Traditional Bengali rice pancakes","2 cups rice flour||2 1/2 cups water||1/2 teaspoon salt||1 tablespoon oil||Grated coconut for serving||Jaggery syrup for serving","Boil water with salt||Gradually add rice flour while stirring||Cook until thick paste forms||Cool slightly||Knead smooth||Make small balls||Flatten into thin discs||Steam for 10-12 minutes||Serve with coconut and jaggery","Keep the batter consistency thick but workable","chitoi,pitha,rice,bengali,steamed","15 mins","15 mins","30 mins",8,"Easy",4.3,14,"bread-bakes","Bengali","gluten-free,vegan",125,2.8,26.4,0.8,0.6,2.1,148.0,"published",165,28,1,0,"2025-06-21 10:00:00","2025-06-21 10:00:00",,"0","approved",
271,"Brioche Bread","brioche-bread","images/brioche.jpg","","","","Rich and buttery French brioche","3 cups bread flour||1/4 cup sugar||1 teaspoon salt||2 teaspoons active dry yeast||4 eggs||1/2 cup butter softened||1/4 cup warm milk||1 egg for wash","Mix flour, sugar, salt, and yeast||Add eggs and milk||Knead 5 minutes||Gradually add butter||Knead until smooth and elastic||Rise 2 hours||Shape into loaf||Rise 1 hour||Brush with egg wash||Bake at 350°F for 35 minutes","Dough will be sticky initially, keep kneading until smooth","brioche,french,buttery,rich,bread","30 mins","35 mins","3 hours 35 mins",1,"Hard",4.9,38,"bread-bakes","French","vegetarian",285,8.2,36.4,12.5,1.4,5.2,285.0,"published",325,58,1,1,"2025-06-21 10:00:00","2025-06-21 10:00:00",,"0","approved",
272,"Ruti (Whole Wheat Flatbread)","ruti-whole-wheat-flatbread","images/ruti.jpg","","","","Simple everyday Bengali flatbread","2 cups whole wheat flour||3/4 cup water||1/2 teaspoon salt||1 tablespoon oil","Mix flour and salt||Add water and oil||Knead smooth dough||Rest 15 minutes||Divide into 8 portions||Roll thin circles||Cook on hot tawa||Flip when bubbles form||Cook until light brown spots appear||Serve hot","Don't use oil while cooking for authentic taste","ruti,bengali,flatbread,whole-wheat,everyday","10 mins","16 mins","41 mins",8,"Easy",4.2,22,"bread-bakes","Bengali","vegan",95,3.5,19.2,1.2,3.1,0.5,148.0,"published",185,31,1,0,"2025-06-21 10:00:00","2025-06-21 10:00:00",,"0","approved",
273,"Banana Bread","banana-bread","images/banana-bread.jpg","","","","Moist homemade banana bread","3 ripe bananas mashed||1 3/4 cups all-purpose flour||1/2 cup melted butter||3/4 cup sugar||1 egg||1 teaspoon vanilla||1 teaspoon baking soda||1/2 teaspoon salt||1/3 cup chopped walnuts optional","Preheat oven to 350°F||Mix mashed bananas with melted butter||Add sugar, egg, and vanilla||In separate bowl mix flour, baking soda, and salt||Combine wet and dry ingredients||Fold in walnuts if using||Pour into greased loaf pan||Bake 60-65 minutes","Use very ripe bananas for best flavor and sweetness","banana-bread,moist,homemade,sweet,bread","15 mins","65 mins","1 hour 20 mins",12,"Easy",4.6,33,"bread-bakes","American","vegetarian",195,3.8,35.2,5.4,1.8,18.5,185.0,"published",295,52,1,0,"2025-06-21 10:00:00","2025-06-21 10:00:00",,"0","approved",
274,"Pav Bread","pav-bread","images/pav-bread.jpg","","","","Soft Indian dinner rolls","2 1/2 cups all-purpose flour||1/2 cup warm milk||2 tablespoons sugar||1 teaspoon active dry yeast||1/2 teaspoon salt||3 tablespoons butter||1 egg||Butter for brushing","Dissolve yeast and sugar in warm milk||Mix flour and salt||Add milk mixture, butter, and egg||Knead smooth dough||Rise 1.5 hours||Shape into 8 small rolls||Place close together in pan||Rise 45 minutes||Brush with butter||Bake at 375°F for 18-20 minutes","Place rolls touching each other for soft sides","pav,indian,soft,dinner-rolls,bread","20 mins","20 mins","2 hours 25 mins",8,"Easy",4.5,21,"bread-bakes","Indian","vegetarian",185,5.8,32.1,4.2,1.2,4.1,198.0,"published",175,29,1,0,"2025-06-21 10:00:00","2025-06-21 10:00:00",,"0","approved",
275,"Croissants","croissants","images/croissants.jpg","","","","Flaky buttery French croissants","2 cups bread flour||1/2 cup warm milk||2 tablespoons sugar||1 teaspoon active dry yeast||1/2 teaspoon salt||2 tablespoons butter||1 cup cold butter for lamination||1 egg for wash","Make dough with flour, milk, sugar, yeast, salt, and 2 tbsp butter||Rise 1 hour||Roll out, place cold butter block||Fold and roll 3 times with 30-min rests||Shape into triangles||Roll into croissant shape||Rise 2 hours||Brush with egg||Bake at 400°F for 15-18 minutes","Keep butter cold during lamination process for flaky layers","croissants,french,flaky,buttery,pastry","45 mins","18 mins","6 hours 3 mins",8,"Hard",4.8,29,"bread-bakes","French","vegetarian",285,6.2,28.4,17.5,1.1,3.8,245.0,"published",385,68,1,1,"2025-06-21 10:00:00","2025-06-21 10:00:00",,"0","approved",
276,"Bhatura","bhatura","images/bhatura.jpg","","","","Fluffy deep-fried Indian bread","2 cups all-purpose flour||1/4 cup plain yogurt||1/2 teaspoon salt||1/2 teaspoon sugar||1/4 teaspoon baking powder||2 tablespoons oil||Water as needed||Oil for deep frying","Mix flour, salt, sugar, and baking powder||Add yogurt and oil||Add water gradually to form soft dough||Knead well and rest 2 hours||Divide into 8 portions||Roll into ovals||Deep fry until puffed and golden||Drain and serve hot with chole","Roll not too thin for good puffing during frying","bhatura,indian,fried,puffy,bread","15 mins","12 mins","2 hours 27 mins",8,"Medium",4.4,18,"bread-bakes","Indian","vegetarian",165,4.2,24.8,6.1,1.1,1.5,198.0,"published",215,35,1,0,"2025-06-21 10:00:00","2025-06-21 10:00:00",,"0","approved",
277,"Cornbread","cornbread","images/cornbread.jpg","","","","Sweet and moist American cornbread","1 cup cornmeal||1 cup all-purpose flour||1/4 cup sugar||1 tablespoon baking powder||1/2 teaspoon salt||1 cup milk||1/3 cup vegetable oil||1 egg||2 tablespoons melted butter","Preheat oven to 400°F||Mix cornmeal, flour, sugar, baking powder, and salt||In another bowl whisk milk, oil, and egg||Combine wet and dry ingredients||Pour into greased 8-inch pan||Bake 20-25 minutes until golden||Brush top with melted butter||Cool before cutting","Serve warm with honey butter for best taste","cornbread,american,sweet,moist,bread","10 mins","25 mins","35 mins",9,"Easy",4.3,25,"bread-bakes","American","vegetarian",185,4.5,28.2,6.8,1.5,6.2,285.0,"published",145,28,1,0,"2025-06-21 10:00:00","2025-06-21 10:00:00",,"0","approved",
278,"Pitha (Rice Cake)","pitha-rice-cake","images/pitha.jpg","","","","Traditional Bengali sweet rice cake","2 cups rice flour||1 cup milk||1/2 cup jaggery||1/4 cup grated coconut||2 tablespoons ghee||1/2 teaspoon cardamom powder||Pinch of salt","Heat milk and dissolve jaggery||Add rice flour gradually while stirring||Cook until thick paste||Add coconut, ghee, and cardamom||Mix well and cool slightly||Shape into small cakes||Steam for 15 minutes||Serve warm or at room temperature","Can also be pan-fried for crispy exterior","pitha,bengali,rice-cake,sweet,traditional","20 mins","20 mins","40 mins",10,"Medium",4.2,15,"bread-bakes","Bengali","gluten-free,vegetarian",135,3.1,24.8,3.2,0.8,8.5,25.0,"published",125,21,1,0,"2025-06-21 10:00:00","2025-06-21 10:00:00",,"0","approved",
279,"Pretzel Bread","pretzel-bread","images/pretzel-bread.jpg","","","","Chewy German-style pretzel bread","3 cups bread flour||1 cup warm water||2 teaspoons active dry yeast||1 teaspoon sugar||1 1/2 teaspoons salt||2 tablespoons melted butter||1/4 cup baking soda||Coarse salt for topping","Dissolve yeast and sugar in warm water||Mix flour and salt||Add water mixture and butter||Knead until smooth||Rise 1 hour||Shape into pretzel||Boil water with baking soda||Dip pretzel in baking soda solution||Place on baking sheet||Sprinkle with coarse salt||Bake at 450°F for 12-15 minutes","Baking soda bath gives authentic pretzel flavor and color","pretzel,german,chewy,traditional,bread","25 mins","15 mins","1 hour 40 mins",4,"Medium",4.6,23,"bread-bakes","German","vegetarian",245,8.1,46.2,3.8,2.1,2.5,485.0,"published",195,34,1,0,"2025-06-21 10:00:00","2025-06-21 10:00:00",,"0","approved",
280,"Dal Puri","dal-puri","images/dal-puri.jpg","","","","Lentil-stuffed Bengali flatbread","For dough: 2 cups flour, 1/2 tsp salt, 2 tbsp oil, water||For filling: 1 cup chana dal, 1 tsp cumin, 1 tsp coriander, 1/2 tsp red chili, salt, 2 tbsp oil","Soak dal for 2 hours||Grind coarsely with spices||Cook dal mixture until dry||Make dough with flour, salt, oil, and water||Rest 30 minutes||Roll small circles||Place filling, seal edges||Roll gently without breaking||Cook on tawa until golden spots","Don't roll too thin to prevent filling from coming out","dal-puri,bengali,stuffed,lentil,flatbread","30 mins","20 mins","3 hours 20 mins",8,"Medium",4.5,19,"bread-bakes","Bengali","vegetarian",195,7.8,32.1,4.2,3.8,1.2,185.0,"published",165,28,1,0,"2025-06-21 10:00:00","2025-06-21 10:00:00",,"0","approved",
281,"Cinnamon Rolls","cinnamon-rolls","images/cinnamon-rolls.jpg","","","","Sweet spiral cinnamon rolls","3 cups all-purpose flour||1 cup warm milk||1/4 cup sugar||2 teaspoons active dry yeast||1/2 teaspoon salt||1/4 cup butter melted||1 egg||For filling: 1/3 cup butter, 1/2 cup brown sugar, 2 tbsp cinnamon||For glaze: 1 cup powdered sugar, 3 tbsp milk","Make dough with flour, milk, sugar, yeast, salt, butter, and egg||Rise 1.5 hours||Roll into rectangle||Spread filling mixture||Roll up tightly||Cut into 12 rolls||Place in greased pan||Rise 45 minutes||Bake at 375°F for 25 minutes||Drizzle with glaze while warm","Cut with dental floss for clean spirals","cinnamon-rolls,sweet,spiral,glazed,bread","30 mins","25 mins","2 hours 40 mins",12,"Medium",4.8,41,"bread-bakes","American","vegetarian",285,5.2,48.5,8.4,1.6,22.1,195.0,"published",425,78,1,1,"2025-06-21 10:00:00","2025-06-21 10:00:00",,"0","approved",
282,"Kulcha","kulcha","images/kulcha.jpg","","","","Soft leavened Indian flatbread","2 cups all-purpose flour||1/2 cup plain yogurt||1/2 teaspoon baking powder||1/2 teaspoon salt||1 teaspoon sugar||2 tablespoons oil||2-3 tablespoons water||Butter for brushing||Nigella seeds for topping","Mix flour, baking powder, salt, and sugar||Add yogurt and oil||Mix and add water gradually||Knead soft dough||Rest 2 hours||Divide into 6 portions||Roll oval shapes||Sprinkle nigella seeds||Cook on hot tawa||Brush with butter||Serve hot","Can be finished in oven for restaurant-style charred spots","kulcha,indian,soft,leavened,flatbread","15 mins","12 mins","2 hours 27 mins",6,"Easy",4.4,17,"bread-bakes","Indian","vegetarian",185,5.1,32.4,4.8,1.2,2.1,265.0,"published",145,26,1,0,"2025-06-21 10:00:00","2025-06-21 10:00:00",,"0","approved",
